1,e,i
2,i,e
3,i,e,"01-02-2017 04:47:14"
4,e,i,"31-01-2017 21:50:14"
5,i,e,"31-01-2017 22:01:10"
6,e,i,"31-01-2017 22:06:20"
7,i,e,"31-01-2017 22:09:04"
8,e,i,"31-01-2017 22:12:13"
9,e,i,"31-01-2017 22:16:11"
10,i,e,"31-01-2017 22:19:02"
11,i,e,"31-01-2017 22:19:31"
12,i,e,"31-01-2017 22:20:07"
13,i,e,"31-01-2017 22:27:48"
14,i,e,"31-01-2017 22:31:01"
15,i,e,"31-01-2017 22:32:25"
16,i,e,"31-01-2017 22:33:12"
17,i,e,"31-01-2017 22:33:33"
18,i,e,"31-01-2017 22:33:56"
19,e,i,"31-01-2017 22:34:19"
20,e,i,"31-01-2017 22:34:35"
21,i,e,"31-01-2017 22:34:55"
22,i,e,"01-02-2017 14:24:52"
23,e,i,"01-02-2017 14:25:01"
24,e,i,"01-02-2017 15:00:45"
25,e,i,"06-02-2017 00:34:55"
26,i,e,"06-02-2017 00:35:14"
27,e,i,"07-02-2017 16:05:25"
28,i,e,"07-02-2017 16:39:28"
29,e,i,"07-02-2017 16:39:53"
30,e,i,"07-02-2017 16:41:12"
31,i,e,"07-02-2017 16:44:01"
32,i,e,"04-12-2017 12:42:38"
33,i,e,"04-12-2017 12:44:04"
34,e,i,"04-12-2017 12:44:08"
35,i,e,"04-12-2017 16:10:17"
36,e,i,"04-14-2017 13:14:42"
37,i,e,"04-14-2017 13:15:51"
38,i,e,"04-14-2017 13:16:04"
