"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","pid","seed","gun_key","nogun_key","left_obj","right_obj","stimulus","constrast","obj_type","face_id","obj_id","rt_from_start","correct"
"2972","32","text","0","2975","0.0-0.0","-1","1492035703161","i","e","NO GUN","GUN","","","","","","",""
"13724","32","text","1","17703","0.0-1.0","-1","1492035703161","i","e","NO GUN","GUN","","","","","","",""
"","","sequential-priming","2","21728","0.0-2.0","-1","1492035703161","i","e","NO GUN","GUN","[""<div id=\""jspsych-countdown-numbers\"">3</div>"",""<div id=\""jspsych-countdown-numbers\"">2</div>"",""<div id=\""jspsych-countdown-numbers\"">1</div>""]","","","","","",""
"","","sequential-priming","3","24651","0.0-3.0-0.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-207-048-N.png"",""./GrayNonguns/wallet_2.png"",""MaskReal.png""]","high","nogun","SHINEd_Hi_WM-207-048-N.png","wallet_2.png","",""
"280","73","sequential-priming","4","27341","0.0-3.0-1.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-254-152-N.png"",""./GrayNonguns/wallet_8.png"",""MaskReal.png""]","high","nogun","SHINEd_Hi_WM-254-152-N.png","wallet_8.png","680","false"
"62","69","sequential-priming","5","29812","0.0-3.0-2.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-032-001-N.png"",""./GrayGuns/gun_6.png"",""MaskReal.png""]","low","gun","SHINEd_Lo_WM-032-001-N.png","gun_6.png","462","false"
"183","69","sequential-priming","6","32403","0.0-3.0-3.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-035-032-N.png"",""./GrayNonguns/keys_3.png"",""MaskReal.png""]","low","nogun","SHINEd_Lo_WM-035-032-N.png","keys_3.png","583","true"
"496","73","sequential-priming","7","35306","0.0-3.0-4.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-252-224-N.png"",""./GrayNonguns/tool_7.png"",""MaskReal.png""]","high","nogun","SHINEd_Hi_WM-252-224-N.png","tool_7.png","896","false"
"585","73","sequential-priming","8","38297","0.0-3.0-5.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-003-002-N.png"",""./GrayGuns/gun_9.png"",""MaskReal.png""]","low","gun","SHINEd_Lo_WM-003-002-N.png","gun_9.png","985","true"
"","","sequential-priming","9","41213","0.0-3.0-6.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-041-021-N.png"",""./GrayNonguns/keys_2.png"",""MaskReal.png""]","high","nogun","SHINEd_Hi_WM-041-021-N.png","keys_2.png","",""
"","","sequential-priming","10","44128","0.0-3.0-7.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-028-003-N.png"",""./GrayGuns/gun_17.png"",""MaskReal.png""]","low","gun","SHINEd_Lo_WM-028-003-N.png","gun_17.png","",""
"","","sequential-priming","11","47042","0.0-3.0-8.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-213-076-N.png"",""./GrayNonguns/tool_6.png"",""MaskReal.png""]","low","nogun","SHINEd_Lo_WM-213-076-N.png","tool_6.png","",""
"","","sequential-priming","12","49958","0.0-3.0-9.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-001-0140-N.png"",""./GrayNonguns/wallet_4.png"",""MaskReal.png""]","low","nogun","SHINEd_Lo_WM-001-0140-N.png","wallet_4.png","",""
"764","73","sequential-priming","13","53129","0.0-3.0-10.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-250-157-N.png"",""./GrayNonguns/keys_7.png"",""MaskReal.png""]","high","nogun","SHINEd_Hi_WM-250-157-N.png","keys_7.png","1164","false"
"81","73","sequential-priming","14","55617","0.0-3.0-11.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-002-009-N.png"",""./GrayNonguns/keys_3.png"",""MaskReal.png""]","high","nogun","SHINEd_Hi_WM-002-009-N.png","keys_3.png","481","false"
"","","sequential-priming","15","58529","0.0-3.0-12.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-013-001-N.png"",""./GrayGuns/gun_5.png"",""MaskReal.png""]","high","gun","SHINEd_Hi_WM-013-001-N.png","gun_5.png","",""
"","","sequential-priming","16","61450","0.0-3.0-13.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-026-001-N.png"",""./GrayNonguns/wallet_8.png"",""MaskReal.png""]","high","nogun","SHINEd_Hi_WM-026-001-N.png","wallet_8.png","",""
"","","sequential-priming","17","64368","0.0-3.0-14.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-015-002-N*.png"",""./GrayGuns/gun_12.png"",""MaskReal.png""]","high","gun","SHINEd_Hi_WM-015-002-N*.png","gun_12.png","",""
"","","sequential-priming","18","67295","0.0-3.0-15.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-222-057-N.png"",""./GrayGuns/gun_10.png"",""MaskReal.png""]","low","gun","SHINEd_Lo_WM-222-057-N.png","gun_10.png","",""
"","","sequential-priming","19","70216","0.0-3.0-16.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-029-023-N.png"",""./GrayNonguns/keys_3.png"",""MaskReal.png""]","high","nogun","SHINEd_Hi_WM-029-023-N.png","keys_3.png","",""
"","","sequential-priming","20","73132","0.0-3.0-17.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-257-161-N.png"",""./GrayGuns/gun_6.png"",""MaskReal.png""]","low","gun","SHINEd_Lo_WM-257-161-N.png","gun_6.png","",""
