"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","pid","seed","gun_key","nogun_key","left_obj","right_obj","stimulus","rt_from_start","correct","constrast","obj_type","face_id","obj_id"
"1271","32","text","0","1272","0.0-0.0","-1","1492037737665","i","e","NO GUN","GUN","","","","","","",""
"1163","32","text","1","3438","0.0-1.0","-1","1492037737665","i","e","NO GUN","GUN","","","","","","",""
"","","sequential-priming","2","7465","0.0-2.0","-1","1492037737665","i","e","NO GUN","GUN","[""<div id=\""jspsych-countdown-numbers\"">3</div>"",""<div id=\""jspsych-countdown-numbers\"">2</div>"",""<div id=\""jspsych-countdown-numbers\"">1</div>""]","","","","","",""
"160","73","sequential-priming","3","10037","0.0-3.0-0.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-038-003-N.png"",""./GrayNonguns/tool_2.png"",""MaskReal.png""]","560","false","high","nogun","SHINEd_Hi_WM-038-003-N.png","tool_2.png"
"871","73","sequential-priming","4","13321","0.0-3.0-1.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-009-002-N.png"",""./GrayGuns/gun_17.png"",""MaskReal.png""]","1271","true","high","gun","SHINEd_Hi_WM-009-002-N.png","gun_17.png"
"790","69","sequential-priming","5","16522","0.0-3.0-2.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-013-001-N.png"",""./GrayGuns/gun_10.png"",""MaskReal.png""]","1190","false","high","gun","SHINEd_Hi_WM-013-001-N.png","gun_10.png"
"","","sequential-priming","6","46938","0.0-3.0-3.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-257-161-N.png"",""./GrayGuns/gun_6.png"",""MaskReal.png""]","","","high","gun","SHINEd_Hi_WM-257-161-N.png","gun_6.png"
"808","69","sequential-priming","7","50157","0.0-3.0-4.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-037-025-N.png"",""./GrayNonguns/keys_4.png"",""MaskReal.png""]","1208","true","high","nogun","SHINEd_Hi_WM-037-025-N.png","keys_4.png"
"198","73","sequential-priming","8","52764","0.0-3.0-5.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-013-001-N.png"",""./GrayNonguns/cell_5.png"",""MaskReal.png""]","598","false","low","nogun","SHINEd_Lo_WM-013-001-N.png","cell_5.png"
"702","73","sequential-priming","9","55872","0.0-3.0-6.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-213-076-N.png"",""./GrayNonguns/keys_5.png"",""MaskReal.png""]","1102","false","low","nogun","SHINEd_Lo_WM-213-076-N.png","keys_5.png"
"618","69","sequential-priming","10","62220","0.0-3.0-7.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-225-127-N.png"",""./GrayGuns/gun_3.png"",""MaskReal.png""]","1018","false","high","gun","SHINEd_Hi_WM-225-127-N.png","gun_3.png"
"807","69","sequential-priming","11","79893","0.0-3.0-8.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-003-002-N.png"",""./GrayGuns/gun_18.png"",""MaskReal.png""]","1207","false","high","gun","SHINEd_Hi_WM-003-002-N.png","gun_18.png"
"","","sequential-priming","12","82828","0.0-3.0-9.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-004-010-N.png"",""./GrayNonguns/wallet_8.png"",""MaskReal.png""]","","","low","nogun","SHINEd_Lo_WM-004-010-N.png","wallet_8.png"
"","","sequential-priming","13","85748","0.0-3.0-10.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-242-011-N.png"",""./GrayNonguns/tool_1.png"",""MaskReal.png""]","","","low","nogun","SHINEd_Lo_WM-242-011-N.png","tool_1.png"
"","","sequential-priming","14","88664","0.0-3.0-11.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-205-007-N.png"",""./GrayGuns/gun_19.png"",""MaskReal.png""]","","","low","gun","SHINEd_Lo_WM-205-007-N.png","gun_19.png"
"","","sequential-priming","15","91583","0.0-3.0-12.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-028-003-N.png"",""./GrayGuns/gun_7.png"",""MaskReal.png""]","","","low","gun","SHINEd_Lo_WM-028-003-N.png","gun_7.png"
"","","sequential-priming","16","94500","0.0-3.0-13.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-002-009-N.png"",""./GrayGuns/gun_6.png"",""MaskReal.png""]","","","high","gun","SHINEd_Hi_WM-002-009-N.png","gun_6.png"
"","","sequential-priming","17","97416","0.0-3.0-14.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-208-068-N.png"",""./GrayGuns/gun_18.png"",""MaskReal.png""]","","","high","gun","SHINEd_Hi_WM-208-068-N.png","gun_18.png"
