"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","pid","gunKey","nogunKey","leftObj","rightObj","stimulus","correct","constrast","objType","faceId","objId"
"7159","32","text","0","7160","0.0-0.0","12","i","e","NO GUN","GUN","","","","","",""
"","","sequential-priming","1","11174","0.0-1.0","12","i","e","NO GUN","GUN","[""<div id=\""jspsych-countdown-numbers\"">3</div>"",""<div id=\""jspsych-countdown-numbers\"">2</div>"",""<div id=\""jspsych-countdown-numbers\"">1</div>""]","","","","",""
"654","69","sequential-priming","2","14082","0.0-2.0-0.0","12","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/WM-258-125-N.png"",""./GrayNonguns/wallet_2.png"",""MaskReal.png""]","true","high","nogun","WM-258-125-N.png","wallet_2.png"
"825","69","sequential-priming","3","16991","0.0-2.0-1.0","12","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/WM-040-022-N.png"",""./GrayNonguns/keys_3.png"",""MaskReal.png""]","true","low","nogun","WM-040-022-N.png","keys_3.png"
"741","69","sequential-priming","4","19901","0.0-2.0-2.0","12","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/WM-029-023-N.png"",""./GrayGuns/gun_7.png"",""MaskReal.png""]","false","high","gun","WM-029-023-N.png","gun_7.png"
"926","73","sequential-priming","5","22824","0.0-2.0-3.0","12","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/WM-004-010-N.png"",""./GrayGuns/gun_9.png"",""MaskReal.png""]","true","low","gun","WM-004-010-N.png","gun_9.png"
"668","69","sequential-priming","6","25733","0.0-2.0-4.0","12","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/WM-252-224-N.png"",""./GrayNonguns/wallet_4.png"",""MaskReal.png""]","true","low","nogun","WM-252-224-N.png","wallet_4.png"
"774","69","sequential-priming","7","28641","0.0-2.0-5.0","12","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/WM-014-002-N*.png"",""./GrayGuns/gun_19.png"",""MaskReal.png""]","false","low","gun","WM-014-002-N*.png","gun_19.png"
"","","sequential-priming","8","31548","0.0-2.0-6.0","12","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/WM-243-107-N.png"",""./GrayNonguns/wallet_3.png"",""MaskReal.png""]","","high","nogun","WM-243-107-N.png","wallet_3.png"
"","","sequential-priming","9","34457","0.0-2.0-7.0","12","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/WM-243-107-N.png"",""./GrayGuns/gun_4.png"",""MaskReal.png""]","","low","gun","WM-243-107-N.png","gun_4.png"
"","","sequential-priming","10","38247","0.0-2.0-8.0","12","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/WM-015-002-N*.png"",""./GrayGuns/gun_16.png"",""MaskReal.png""]","","high","gun","WM-015-002-N*.png","gun_16.png"
"","","sequential-priming","11","45602","0.0-2.0-9.0","12","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/WM-012-001-N.png"",""./GrayNonguns/cell_7.png"",""MaskReal.png""]","","high","nogun","WM-012-001-N.png","cell_7.png"
"","","sequential-priming","12","49247","0.0-2.0-10.0","12","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/WM-034-030-N.png"",""./GrayGuns/gun_5.png"",""MaskReal.png""]","","low","gun","WM-034-030-N.png","gun_5.png"
"","","sequential-priming","13","52821","0.0-2.0-11.0","12","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/WM-250-157-N.png"",""./GrayNonguns/keys_6.png"",""MaskReal.png""]","","low","nogun","WM-250-157-N.png","keys_6.png"
"","","sequential-priming","14","55847","0.0-2.0-12.0","12","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/WM-041-021-N.png"",""./GrayGuns/gun_18.png"",""MaskReal.png""]","","high","gun","WM-041-021-N.png","gun_18.png"
"","","sequential-priming","15","58754","0.0-2.0-13.0","12","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/WM-041-021-N.png"",""./GrayGuns/gun_1.png"",""MaskReal.png""]","","low","gun","WM-041-021-N.png","gun_1.png"
"","","sequential-priming","16","62246","0.0-2.0-14.0","12","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/WM-004-010-N.png"",""./GrayNonguns/tool_8.png"",""MaskReal.png""]","","high","nogun","WM-004-010-N.png","tool_8.png"
