"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","pid","gun_key","nogun_key","left_obj","right_obj","stimulus","correct","constrast","obj_type","face_id","obj_id"
"1589","32","text","0","1591","0.0-0.0","13","i","e","NO GUN","GUN","","","","","",""
"","","sequential-priming","1","5606","0.0-1.0","13","i","e","NO GUN","GUN","[""<div id=\""jspsych-countdown-numbers\"">3</div>"",""<div id=\""jspsych-countdown-numbers\"">2</div>"",""<div id=\""jspsych-countdown-numbers\"">1</div>""]","","","","",""
"568","73","sequential-priming","2","8214","0.0-2.0-0.0","13","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/WM-009-002-N.png"",""./GrayNonguns/cell_4.png"",""MaskReal.png""]","false","high","nogun","WM-009-002-N.png","cell_4.png"
"528","73","sequential-priming","3","10819","0.0-2.0-1.0","13","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/WM-038-003-N.png"",""./GrayGuns/gun_14.png"",""MaskReal.png""]","true","high","gun","WM-038-003-N.png","gun_14.png"
"635","69","sequential-priming","4","13730","0.0-2.0-2.0","13","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/WM-013-001-N.png"",""./GrayNonguns/tool_7.png"",""MaskReal.png""]","true","high","nogun","WM-013-001-N.png","tool_7.png"
"","","sequential-priming","5","16638","0.0-2.0-3.0","13","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/WM-243-107-N.png"",""./GrayGuns/gun_20.png"",""MaskReal.png""]","","low","gun","WM-243-107-N.png","gun_20.png"
"1168","73","sequential-priming","6","19546","0.0-2.0-4.0","13","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/WM-250-157-N.png"",""./GrayNonguns/wallet_7.png"",""MaskReal.png""]","false","high","nogun","WM-250-157-N.png","wallet_7.png"
"","","sequential-priming","7","22453","0.0-2.0-5.0","13","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/WM-037-025-N.png"",""./GrayGuns/gun_8.png"",""MaskReal.png""]","","low","gun","WM-037-025-N.png","gun_8.png"
"","","sequential-priming","8","25362","0.0-2.0-6.0","13","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/WM-249-239-N.png"",""./GrayGuns/gun_12.png"",""MaskReal.png""]","","high","gun","WM-249-239-N.png","gun_12.png"
"","","sequential-priming","9","28270","0.0-2.0-7.0","13","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/WM-031-003-N.png"",""./GrayGuns/gun_4.png"",""MaskReal.png""]","","low","gun","WM-031-003-N.png","gun_4.png"
"","","sequential-priming","10","31177","0.0-2.0-8.0","13","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/WM-041-021-N.png"",""./GrayNonguns/wallet_3.png"",""MaskReal.png""]","","low","nogun","WM-041-021-N.png","wallet_3.png"
"","","sequential-priming","11","34083","0.0-2.0-9.0","13","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/WM-026-001-N.png"",""./GrayGuns/gun_15.png"",""MaskReal.png""]","","high","gun","WM-026-001-N.png","gun_15.png"
