"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","pid","seed","gun_key","nogun_key","left_obj","right_obj","stimulus","constrast","obj_type","face_id","obj_id","rt_from_start","correct"
"426417","32","text","0","426419","0.0-0.0","24","1485986445879","e","i","GUN","NO GUN","","","","","","",""
"","","sequential-priming","1","430435","0.0-1.0","24","1485986445879","e","i","GUN","NO GUN","[""<div id=\""jspsych-countdown-numbers\"">3</div>"",""<div id=\""jspsych-countdown-numbers\"">2</div>"",""<div id=\""jspsych-countdown-numbers\"">1</div>""]","","","","","",""
"","","sequential-priming","2","433346","0.0-2.0-0.0","24","1485986445879","e","i","GUN","NO GUN","[""MaskReal.png"",""./LoCon/WM-006-002-N.png"",""./GrayNonguns/wallet_5.png"",""MaskReal.png""]","low","nogun","WM-006-002-N.png","wallet_5.png","",""
"","","sequential-priming","3","436258","0.0-2.0-1.0","24","1485986445879","e","i","GUN","NO GUN","[""MaskReal.png"",""./HiCon/WM-256-138-N.png"",""./GrayGuns/gun_4.png"",""MaskReal.png""]","high","gun","WM-256-138-N.png","gun_4.png","",""
"","","sequential-priming","4","439173","0.0-2.0-2.0","24","1485986445879","e","i","GUN","NO GUN","[""MaskReal.png"",""./HiCon/WM-033-025-N.png"",""./GrayGuns/gun_20.png"",""MaskReal.png""]","high","gun","WM-033-025-N.png","gun_20.png","",""
"","","sequential-priming","5","442083","0.0-2.0-3.0","24","1485986445879","e","i","GUN","NO GUN","[""MaskReal.png"",""./HiCon/WM-037-025-N.png"",""./GrayGuns/gun_9.png"",""MaskReal.png""]","high","gun","WM-037-025-N.png","gun_9.png","",""
"","","sequential-priming","6","444992","0.0-2.0-4.0","24","1485986445879","e","i","GUN","NO GUN","[""MaskReal.png"",""./HiCon/WM-249-239-N.png"",""./GrayGuns/gun_8.png"",""MaskReal.png""]","high","gun","WM-249-239-N.png","gun_8.png","",""
"","","sequential-priming","7","447903","0.0-2.0-5.0","24","1485986445879","e","i","GUN","NO GUN","[""MaskReal.png"",""./LoCon/WM-039-018-N.png"",""./GrayGuns/gun_19.png"",""MaskReal.png""]","low","gun","WM-039-018-N.png","gun_19.png","",""
"","","sequential-priming","8","450814","0.0-2.0-6.0","24","1485986445879","e","i","GUN","NO GUN","[""MaskReal.png"",""./LoCon/WM-029-023-N.png"",""./GrayNonguns/wallet_7.png"",""MaskReal.png""]","low","nogun","WM-029-023-N.png","wallet_7.png","",""
"","","sequential-priming","9","453724","0.0-2.0-7.0","24","1485986445879","e","i","GUN","NO GUN","[""MaskReal.png"",""./HiCon/WM-257-161-N.png"",""./GrayNonguns/cell_4.png"",""MaskReal.png""]","high","nogun","WM-257-161-N.png","cell_4.png","",""
"","","sequential-priming","10","456635","0.0-2.0-8.0","24","1485986445879","e","i","GUN","NO GUN","[""MaskReal.png"",""./LoCon/WM-031-003-N.png"",""./GrayGuns/gun_11.png"",""MaskReal.png""]","low","gun","WM-031-003-N.png","gun_11.png","",""
"","","sequential-priming","11","459546","0.0-2.0-9.0","24","1485986445879","e","i","GUN","NO GUN","[""MaskReal.png"",""./LoCon/WM-015-002-N*.png"",""./GrayNonguns/keys_4.png"",""MaskReal.png""]","low","nogun","WM-015-002-N*.png","keys_4.png","",""
"","","sequential-priming","12","462454","0.0-2.0-10.0","24","1485986445879","e","i","GUN","NO GUN","[""MaskReal.png"",""./LoCon/WM-256-138-N.png"",""./GrayGuns/gun_14.png"",""MaskReal.png""]","low","gun","WM-256-138-N.png","gun_14.png","",""
"","","sequential-priming","13","465364","0.0-2.0-11.0","24","1485986445879","e","i","GUN","NO GUN","[""MaskReal.png"",""./HiCon/WM-017-002-N.png"",""./GrayNonguns/wallet_3.png"",""MaskReal.png""]","high","nogun","WM-017-002-N.png","wallet_3.png","",""
"146","73","sequential-priming","14","467972","0.0-2.0-12.0","24","1485986445879","e","i","GUN","NO GUN","[""MaskReal.png"",""./LoCon/WM-034-030-N.png"",""./GrayNonguns/wallet_8.png"",""MaskReal.png""]","low","nogun","WM-034-030-N.png","wallet_8.png","546","true"
"112","69","sequential-priming","15","470580","0.0-2.0-13.0","24","1485986445879","e","i","GUN","NO GUN","[""MaskReal.png"",""./HiCon/WM-243-107-N.png"",""./GrayGuns/gun_2.png"",""MaskReal.png""]","high","gun","WM-243-107-N.png","gun_2.png","512","true"
"202","69","sequential-priming","16","473187","0.0-2.0-14.0","24","1485986445879","e","i","GUN","NO GUN","[""MaskReal.png"",""./HiCon/WM-011-002-N.png"",""./GrayNonguns/cell_8.png"",""MaskReal.png""]","high","nogun","WM-011-002-N.png","cell_8.png","602","false"
"","","sequential-priming","17","476097","0.0-2.0-15.0","24","1485986445879","e","i","GUN","NO GUN","[""MaskReal.png"",""./HiCon/WM-031-003-N.png"",""./GrayGuns/gun_12.png"",""MaskReal.png""]","high","gun","WM-031-003-N.png","gun_12.png","",""
"","","sequential-priming","18","479006","0.0-2.0-16.0","24","1485986445879","e","i","GUN","NO GUN","[""MaskReal.png"",""./HiCon/WM-006-002-N.png"",""./GrayGuns/gun_17.png"",""MaskReal.png""]","high","gun","WM-006-002-N.png","gun_17.png","",""
"","","sequential-priming","19","481918","0.0-2.0-17.0","24","1485986445879","e","i","GUN","NO GUN","[""MaskReal.png"",""./HiCon/WM-034-030-N.png"",""./GrayNonguns/wallet_6.png"",""MaskReal.png""]","high","nogun","WM-034-030-N.png","wallet_6.png","",""
"","","sequential-priming","20","484825","0.0-2.0-18.0","24","1485986445879","e","i","GUN","NO GUN","[""MaskReal.png"",""./LoCon/WM-003-002-N.png"",""./GrayGuns/gun_6.png"",""MaskReal.png""]","low","gun","WM-003-002-N.png","gun_6.png","",""
"","","sequential-priming","21","487733","0.0-2.0-19.0","24","1485986445879","e","i","GUN","NO GUN","[""MaskReal.png"",""./LoCon/WM-026-001-N.png"",""./GrayGuns/gun_16.png"",""MaskReal.png""]","low","gun","WM-026-001-N.png","gun_16.png","",""
"","","sequential-priming","22","490643","0.0-2.0-20.0","24","1485986445879","e","i","GUN","NO GUN","[""MaskReal.png"",""./LoCon/WM-257-161-N.png"",""./GrayGuns/gun_3.png"",""MaskReal.png""]","low","gun","WM-257-161-N.png","gun_3.png","",""
"","","sequential-priming","23","493550","0.0-2.0-21.0","24","1485986445879","e","i","GUN","NO GUN","[""MaskReal.png"",""./HiCon/WM-041-021-N.png"",""./GrayNonguns/wallet_4.png"",""MaskReal.png""]","high","nogun","WM-041-021-N.png","wallet_4.png","",""
"","","sequential-priming","24","496459","0.0-2.0-22.0","24","1485986445879","e","i","GUN","NO GUN","[""MaskReal.png"",""./HiCon/WM-013-001-N.png"",""./GrayGuns/gun_13.png"",""MaskReal.png""]","high","gun","WM-013-001-N.png","gun_13.png","",""
"","","sequential-priming","25","499369","0.0-2.0-23.0","24","1485986445879","e","i","GUN","NO GUN","[""MaskReal.png"",""./LoCon/WM-017-002-N.png"",""./GrayNonguns/tool_2.png"",""MaskReal.png""]","low","nogun","WM-017-002-N.png","tool_2.png","",""
"","","sequential-priming","26","502278","0.0-2.0-24.0","24","1485986445879","e","i","GUN","NO GUN","[""MaskReal.png"",""./LoCon/WM-253-119-N.png"",""./GrayNonguns/keys_6.png"",""MaskReal.png""]","low","nogun","WM-253-119-N.png","keys_6.png","",""
"","","sequential-priming","27","505186","0.0-2.0-25.0","24","1485986445879","e","i","GUN","NO GUN","[""MaskReal.png"",""./HiCon/WM-001-0140-N.png"",""./GrayNonguns/cell_1.png"",""MaskReal.png""]","high","nogun","WM-001-0140-N.png","cell_1.png","",""
"","","sequential-priming","28","508096","0.0-2.0-26.0","24","1485986445879","e","i","GUN","NO GUN","[""MaskReal.png"",""./HiCon/WM-026-001-N.png"",""./GrayGuns/gun_15.png"",""MaskReal.png""]","high","gun","WM-026-001-N.png","gun_15.png","",""
"","","sequential-priming","29","511005","0.0-2.0-27.0","24","1485986445879","e","i","GUN","NO GUN","[""MaskReal.png"",""./LoCon/WM-251-002-N.png"",""./GrayNonguns/tool_5.png"",""MaskReal.png""]","low","nogun","WM-251-002-N.png","tool_5.png","",""
"","","sequential-priming","30","513913","0.0-2.0-28.0","24","1485986445879","e","i","GUN","NO GUN","[""MaskReal.png"",""./LoCon/WM-258-125-N.png"",""./GrayNonguns/tool_6.png"",""MaskReal.png""]","low","nogun","WM-258-125-N.png","tool_6.png","",""
"","","sequential-priming","31","516822","0.0-2.0-29.0","24","1485986445879","e","i","GUN","NO GUN","[""MaskReal.png"",""./LoCon/WM-041-021-N.png"",""./GrayNonguns/tool_7.png"",""MaskReal.png""]","low","nogun","WM-041-021-N.png","tool_7.png","",""
