"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","pid","seed","gun_key","nogun_key","left_obj","right_obj","stimulus","rt_from_start","correct","constrast","obj_type","face_id","obj_id"
"3192","32","text","0","3194","0.0-0.0","26","1486366515033","i","e","NO GUN","GUN","","","","","","",""
"","","sequential-priming","1","7212","0.0-1.0","26","1486366515033","i","e","NO GUN","GUN","[""<div id=\""jspsych-countdown-numbers\"">3</div>"",""<div id=\""jspsych-countdown-numbers\"">2</div>"",""<div id=\""jspsych-countdown-numbers\"">1</div>""]","","","","","",""
"337","73","sequential-priming","2","10122","0.0-2.0-0.0","26","1486366515033","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-034-030-N.png"",""./GrayNonguns/wallet_7.png"",""MaskReal.png""]","737","false","high","nogun","SHINEd_Hi_WM-034-030-N.png","wallet_7.png"
"460","69","sequential-priming","3","13032","0.0-2.0-1.0","26","1486366515033","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-257-161-N.png"",""./GrayNonguns/tool_4.png"",""MaskReal.png""]","860","true","high","nogun","SHINEd_Hi_WM-257-161-N.png","tool_4.png"
"501","73","sequential-priming","4","15942","0.0-2.0-2.0","26","1486366515033","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-225-127-N.png"",""./GrayNonguns/cell_2.png"",""MaskReal.png""]","901","false","high","nogun","SHINEd_Hi_WM-225-127-N.png","cell_2.png"
"423","69","sequential-priming","5","18852","0.0-2.0-3.0","26","1486366515033","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-011-002-N.png"",""./GrayNonguns/cell_1.png"",""MaskReal.png""]","823","true","low","nogun","SHINEd_Lo_WM-011-002-N.png","cell_1.png"
"521","73","sequential-priming","6","21764","0.0-2.0-4.0","26","1486366515033","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-035-032-N.png"",""./GrayGuns/gun_10.png"",""MaskReal.png""]","921","true","low","gun","SHINEd_Lo_WM-035-032-N.png","gun_10.png"
"","","sequential-priming","7","24676","0.0-2.0-5.0","26","1486366515033","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-231-112-N.png"",""./GrayGuns/gun_17.png"",""MaskReal.png""]","","","low","gun","SHINEd_Lo_WM-231-112-N.png","gun_17.png"
"352","73","sequential-priming","8","27588","0.0-2.0-6.0","26","1486366515033","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-222-057-N.png"",""./GrayNonguns/keys_6.png"",""MaskReal.png""]","752","false","high","nogun","SHINEd_Hi_WM-222-057-N.png","keys_6.png"
"385","73","sequential-priming","9","30497","0.0-2.0-7.0","26","1486366515033","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-225-127-N.png"",""./GrayGuns/gun_11.png"",""MaskReal.png""]","785","true","low","gun","SHINEd_Lo_WM-225-127-N.png","gun_11.png"
"492","69","sequential-priming","10","33407","0.0-2.0-8.0","26","1486366515033","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-028-003-N.png"",""./GrayNonguns/tool_3.png"",""MaskReal.png""]","892","true","high","nogun","SHINEd_Hi_WM-028-003-N.png","tool_3.png"
"","","sequential-priming","11","36317","0.0-2.0-9.0","26","1486366515033","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-003-002-N.png"",""./GrayNonguns/wallet_6.png"",""MaskReal.png""]","","","low","nogun","SHINEd_Lo_WM-003-002-N.png","wallet_6.png"
"","","sequential-priming","12","39226","0.0-2.0-10.0","26","1486366515033","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-206-045-N.png"",""./GrayNonguns/tool_6.png"",""MaskReal.png""]","","","high","nogun","SHINEd_Hi_WM-206-045-N.png","tool_6.png"
"","","sequential-priming","13","42137","0.0-2.0-11.0","26","1486366515033","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-036-031-N.png"",""./GrayNonguns/wallet_5.png"",""MaskReal.png""]","","","high","nogun","SHINEd_Hi_WM-036-031-N.png","wallet_5.png"
"993","73","sequential-priming","14","45047","0.0-2.0-12.0","26","1486366515033","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-218-074-N.png"",""./GrayNonguns/cell_3.png"",""MaskReal.png""]","1393","false","high","nogun","SHINEd_Hi_WM-218-074-N.png","cell_3.png"
"276","73","sequential-priming","15","47957","0.0-2.0-13.0","26","1486366515033","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-029-023-N.png"",""./GrayGuns/gun_8.png"",""MaskReal.png""]","676","true","low","gun","SHINEd_Lo_WM-029-023-N.png","gun_8.png"
"324","69","sequential-priming","16","50865","0.0-2.0-14.0","26","1486366515033","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-257-161-N.png"",""./GrayGuns/gun_4.png"",""MaskReal.png""]","724","false","low","gun","SHINEd_Lo_WM-257-161-N.png","gun_4.png"
"177","73","sequential-priming","17","53474","0.0-2.0-15.0","26","1486366515033","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-032-001-N.png"",""./GrayGuns/gun_15.png"",""MaskReal.png""]","577","true","low","gun","SHINEd_Lo_WM-032-001-N.png","gun_15.png"
"95","69","sequential-priming","18","56080","0.0-2.0-16.0","26","1486366515033","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-038-003-N.png"",""./GrayGuns/gun_13.png"",""MaskReal.png""]","495","false","high","gun","SHINEd_Hi_WM-038-003-N.png","gun_13.png"
"394","69","sequential-priming","19","58992","0.0-2.0-17.0","26","1486366515033","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-017-002-N.png"",""./GrayNonguns/cell_7.png"",""MaskReal.png""]","794","true","high","nogun","SHINEd_Hi_WM-017-002-N.png","cell_7.png"
